"","TIME_PERIOD","GEO","AGE","SEX","Obs_status","Obs_value","YEAR","CW","VALUE"
"1","2021-W02","CH","_T","T","P","1535","2021","02",1535
"2","2021-W02","CH011","_T","T","P","54","2021","02",54
"3","2021-W02","CH021","_T","T","P","169","2021","02",169
"4","2021-W02","CH040","_T","T","P","279","2021","02",279
"5","2021-W02","CH070","_T","T","P","87","2021","02",87
