"","TIME_PERIOD","GEO","AGE","SEX","Obs_status","Obs_value","YEAR","CW","VALUE"
"1","2021-W03","CH","_T","T","P","1555","2021","03",1555
"2","2021-W03","CH011","_T","T","P","56","2021","03",56
"3","2021-W03","CH021","_T","T","P","234","2021","03",234
"4","2021-W03","CH040","_T","T","P","273","2021","03",273
"5","2021-W03","CH070","_T","T","P","80","2021","03",80
