"","TIME_PERIOD","GEO","AGE","SEX","Obs_status","Obs_value","YEAR","CW","VALUE"
"1","2021-W04","CH","_T","T","P","1438","2021","04",1438
"2","2021-W04","CH011","_T","T","P","90","2021","04",90
"3","2021-W04","CH021","_T","T","P","221","2021","04",221
"4","2021-W04","CH040","_T","T","P","229","2021","04",229
"5","2021-W04","CH070","_T","T","P","82","2021","04",82
