"","TIME_PERIOD","GEO","AGE","SEX","Obs_status","Obs_value","YEAR","CW","VALUE"
"1","2020-W51","CH","_T","T","P","1826","2020","51",1826
"2","2020-W51","CH011","_T","T","P","11","2020","51",11
"3","2020-W51","CH021","_T","T","P","296","2020","51",296
"4","2020-W51","CH040","_T","T","P","335","2020","51",335
"5","2020-W51","CH070","_T","T","P","114","2020","51",114
